Customer;SSN;Birthdate;Age;Region;CredCardUser;Income;Purchases;AmtSpent
1;539-84-9599;26/10/44;77; East;0;62900;4;2080
2;444-05-4079;01/01/32;67;West;1;23300;0;0
3;418-18-5649;17/08/73;25;East;1;48700;8;3990
4;065-63-3311;02/08/47;51;West;1;137600;2;920
5;059-58-9566;03/10/48;50;East;0;101400;2;1000
6;443-13-8685;24/03/60;39;East;0;139700;1;550
7;638-89-7231;02/12/43;55;South;1;50900;3;1400
8;202-94-6453;08/11/74;24;South;1;50500;0;0
9;266-29-0308;28/09/67;31;North;0;151400;2;910
10;943-85-8301;05/07/65;33;West;0;88300;2;1080
11;047-07-5332;13/11/64;34;North;0;120300;3;1390
12;503-14-3400;21/03/34;65;East;0;25800;1;560
13;690-97-5817;29/12/60;38;West;0;65500;1;410
14;614-59-6703;01/08/72;26;South;1;54400;9999;9999
15;704-98-5642;01/05/52;46;North;0;54500;7;3570
16;588-92-9590;29/08/39;59;South;0;143500;2;1070
17;267-58-0440;05/04/57;42;East;1;40500;2;950
18;833-81-4506;01/11/67;31;West;1;61900;2;930
19;645-20-8840;02/03/58;41;West;1;106300;2;1010
20;700-29-4704;10/01/33;66;South;0;133700;3;1570
21;443-16-6366;28/11/38;60;South;1;101900;3;1560
22;932-34-0537;22/09/47;51;West;0;83000;3;1440
23;943-09-9693;08/12/76;22; North;1;150500;0;0
24;429-27-7896;08/09/30;68; North;0;24600;2;1080
25;977-81-8641;03/07/62;36;East;0;108500;6;3220
26;637-52-5564;28/01/53;46; East;0;92600;5;2260
27;208-24-5411;05/11/45;53;East;0;129100;1;580
28;326-15-9711;08/02/62;37; East;1;101500;2;1040
29;437-20-5008;20/10/41;57; East;0;75800;3;1640
30;168-38-3752;10/01/51;48;East;0;80500;7;3640
31;564-00-1130;19/06/30;68;East;1;151000;5;2460
32;151-72-6670;17/06/49;49;North;1;36800;3;1520
33;508-92-0528;23/01/67;32;East;0;130100;0;0
34;659-67-6522;03/02/42;57; West;0;43800;1;510
35;166-81-0189;28/01/39;60;North;1;103800;3;1630
36;071-68-0276;04/06/66;32;North;0;20100;3;1520
37;498-98-3229;13/04/73;26;North;0;84300;3;1700
38;267-99-6806;08/07/57;41;East;1;123700;5;2700
39;356-51-5288;20/10/47;51;East;0;132300;4;1910
40;081-45-2678;31/01/50;49;South;0;147300;2;1040
41;006-59-5729;07/11/42;56;West;1;59100;7;460
